ResponseId,Condition,Disease,Initial,Choice,Final,Delta,CertaintyClass,CrossFlag,TestOrder,ChoiceRaw,ChoiceText,Duration
R_6iyAismhliNpQIF,Control,H,43,1,38,-5,Less,0,YX,2,a hypozedic disease,42
R_1IiscY3dUyO1KlX,Moderation,H,30,0,-15,-15,Less,1,YX,2,L2,96
R_1fvZ3D0YsNsQ0KZ,Polarization,A,36,1,40,4,Equal,0,XY,2,Y1,136
R_6hMVC9TXLrm8cgn,Polarization,H,61,1,65,4,Equal,0,XY,2,Y1,123
R_5oI3jRoZNZBliJV,Moderation,A,61,0,-20,-41,Less,1,YX,2,L2,170
R_3oA0xVyAWtZKwHm,Moderation,H,35,0,35,0,Equal,0,YX,2,L2,104
R_1RfvFuKDq8MzaJF,Control,A,45,1,54,9,More,0,XY,2,an allozedic disease,374
R_3BQRkbme7NGqb7I,Polarization,H,66,1,66,0,Equal,0,YX,1,Y1,77
R_7PclCb5vyizCcuJ,Control,A,58,0,29,-29,Less,0,XY,1,a hypozedic disease,126
R_7QMguylcWC82krB,Moderation,H,57,1,38,-19,Less,0,XY,2,Y2,91
R_5OOAKr3IerZsglH,Control,A,50,1,50,0,Equal,0,YX,1,an allozedic disease,160
R_364Cv3mY8SCZKh3,Polarization,A,43,1,9,-34,Less,0,XY,2,Y1,281
R_517J0M8Yfee95lY,Polarization,H,56,1,76,20,More,0,YX,1,Y1,92
R_5rIkLALMvE7BSUP,Moderation,H,40,1,21,-19,Less,0,YX,1,Y2,61
R_5Ow4Suk7pKnLBce,Polarization,H,0,1,0,0,Equal,0,YX,1,Y1,48
R_37CjA4cK9XSX7MR,Moderation,H,63,1,67,4,Equal,0,XY,2,Y2,56
R_5ojbONHgyovgT9B,Moderation,H,99,0,97,-2,Equal,0,YX,2,L2,44
R_7oqfP24EKF4ke9I,Polarization,H,19,1,45,26,More,0,XY,2,Y1,59
R_51iSSv2VFD7DmXP,Moderation,A,100,0,62,-38,Less,0,XY,1,L2,57
R_3pqyazxU531RxrX,Moderation,A,30,1,23,-7,Less,0,XY,2,Y2,54
R_51cQxbR5pf0LnhI,Control,H,30,1,30,0,Equal,0,XY,1,a hypozedic disease,86
R_38OHBEqtbqFmnNC,Polarization,H,53,1,41,-12,Less,0,YX,1,Y1,56
R_6gMdPxP4gwSOyFj,Control,A,75,1,69,-6,Less,0,XY,2,an allozedic disease,53
R_6dmFCB2AYXy7EBO,Moderation,A,70,0,-50,-20,Less,1,YX,2,L2,86
R_6ttfNFrMldYD7ur,Moderation,A,0,0,0,0,Equal,0,YX,2,L2,70
R_1r2BrAVG808ZwkT,Control,A,41,1,0,-41,Less,0,YX,1,an allozedic disease,44
R_5965DgV5sAgUxs6,Polarization,A,5,1,0,-5,Less,0,XY,2,Y1,95
R_3EtamK0k7M3US3Y,Moderation,H,70,0,62,-8,Less,0,YX,2,L2,70
R_5QAGDCcJ2N4PUA7,Moderation,A,30,0,-23,-7,Less,1,YX,2,L2,107
R_5dfKQs3iayryAXi,Control,A,65,1,30,-35,Less,0,YX,1,an allozedic disease,94
R_7NDLG4jOztw0Qq4,Control,A,0,0,-20,20,More,0,XY,1,a hypozedic disease,95
R_6PBo7RAArt0856F,Moderation,A,44,1,40,-4,Equal,0,XY,2,Y2,89
R_6MR67UoLNYyJkun,Moderation,H,75,0,-80,5,More,1,YX,2,L2,113
R_6Pb8XO2xRzWaKvA,Moderation,A,30,1,15,-15,Less,0,XY,2,Y2,72
R_6hG8Ur7TxlLn2qE,Control,A,30,1,24,-6,Less,0,XY,2,an allozedic disease,65
R_1wTiANqMECyK0vv,Polarization,H,50,1,90,40,More,0,YX,1,Y1,99
R_3YLKCkVWXNo21AO,Moderation,H,29,0,-12,-17,Less,1,YX,2,L2,84
R_5FFFJuo6Qlz7d3H,Control,A,42,1,42,0,Equal,0,XY,2,an allozedic disease,96
R_1dzGPPIaybH8dLy,Polarization,A,67,1,62,-5,Less,0,XY,2,Y1,77
R_1TJsezQGA9JcHYd,Polarization,H,60,1,60,0,Equal,0,XY,2,Y1,106
R_1JFKQe5GXOcAMQP,Control,A,1,1,19,18,More,0,XY,2,an allozedic disease,98
R_6oYopIrhlNxA3O4,Polarization,H,80,1,100,20,More,0,YX,1,Y1,80
R_1pVmER0QSsPkrkx,Control,A,70,1,70,0,Equal,0,XY,2,an allozedic disease,95
R_1QyUQUZJUYmjbPQ,Polarization,H,40,1,40,0,Equal,0,YX,1,Y1,85
R_6hZ71qOoq8cCt26,Control,H,60,0,60,0,Equal,0,XY,2,an allozedic disease,72
R_5Do377fGQlTDZ12,Moderation,H,52,1,40,-12,Less,0,YX,1,Y2,77
R_7YnycdFXJKxTaUM,Control,H,18,1,18,0,Equal,0,XY,1,a hypozedic disease,72
R_6CJ9Zp262g0QGeP,Moderation,A,45,0,30,-15,Less,0,XY,1,L2,104
R_67hIE5N1CPG3i0x,Control,H,73,1,74,1,Equal,0,XY,1,a hypozedic disease,58
R_3R52cwZJdKvOzlB,Moderation,H,50,0,-11,-39,Less,1,XY,1,L2,72
R_769am0PhDPFsEut,Control,A,65,1,67,2,Equal,0,YX,1,an allozedic disease,72
R_6PnTZU7ZpDkrUA5,Polarization,A,80,1,90,10,More,0,XY,2,Y1,100
R_5EhdLjhOMThEO7g,Control,A,35,1,20,-15,Less,0,YX,1,an allozedic disease,107
R_57S4d4MJvAhELlL,Control,H,60,1,60,0,Equal,0,XY,1,a hypozedic disease,83
R_632V5xpETWxCnPp,Control,H,60,1,60,0,Equal,0,XY,1,a hypozedic disease,99
R_7bJpg0YN3A56B0T,Control,A,25,1,25,0,Equal,0,XY,2,an allozedic disease,52
R_6xusiMy41Y9a1Dr,Polarization,H,70,1,90,20,More,0,YX,1,Y1,116
R_6UAj8f8bTD57KXn,Control,A,60,1,55,-5,Less,0,XY,2,an allozedic disease,136
R_7ZBstYSSDcZFGRY,Polarization,A,81,1,70,-11,Less,0,YX,1,Y1,96
R_6PH4xOmHF1RBDWx,Control,H,40,1,50,10,More,0,YX,2,a hypozedic disease,124
R_5pA32iTXoZG4Di9,Moderation,A,32,0,-11,-21,Less,1,XY,1,L2,127
R_5E7obpcjDZWs61D,Control,A,44,1,27,-17,Less,0,XY,2,an allozedic disease,130
R_31hewBwZuE2EBjW,Control,H,50,1,30,-20,Less,0,YX,2,a hypozedic disease,126
R_3Evl2qg0kMQt6WD,Polarization,H,75,1,70,-5,Less,0,YX,1,Y1,173
R_62m3w8HDPML0sFK,Polarization,A,42,1,43,1,Equal,0,YX,1,Y1,123
R_1qxvITTreuVEahE,Polarization,A,45,1,25,-20,Less,0,YX,1,Y1,167
R_7nZSYn2RJlgI8Gj,Moderation,A,70,1,30,-40,Less,0,XY,2,Y2,138
R_51AEmVs8Y4mTNoV,Moderation,A,46,0,-40,-6,Less,1,XY,1,L2,115
R_7mtqv6uExKdYHWN,Polarization,H,53,1,55,2,Equal,0,XY,2,Y1,121
R_3JjNUI2YqJyajDz,Polarization,H,42,1,51,9,More,0,XY,2,Y1,68
R_5mkp4zgP0h3QKPt,Moderation,H,32,0,78,46,More,0,YX,2,L2,48
R_5gj8yYJPjRlyq3k,Polarization,H,20,1,5,-15,Less,0,XY,2,Y1,100
R_6xryVJTL3vbXys9,Moderation,A,49,1,-28,-21,Less,1,YX,1,Y2,166
R_3ErWUYtOORprSlb,Control,A,14,1,35,21,More,0,XY,2,an allozedic disease,91
R_7JxG0qqRamyXT9O,Control,A,33,1,23,-10,Less,0,YX,1,an allozedic disease,43
R_6FOZUgO4MhenFsm,Control,H,66,1,60,-6,Less,0,YX,2,a hypozedic disease,70
R_3qEe79MMhhsXTZy,Control,A,75,1,65,-10,Less,0,YX,1,an allozedic disease,104
R_5DSL2mbSH6yNVbX,Moderation,H,70,0,-36,-34,Less,1,YX,2,L2,117
R_7VOSBuI3ERvVLVh,Polarization,H,25,1,75,50,More,0,YX,1,Y1,180
R_3CPJDfuKiCxT2PF,Moderation,H,86,0,-44,-42,Less,1,XY,1,L2,112
R_7JKG3HXlD1mcf0S,Polarization,H,50,1,50,0,Equal,0,YX,1,Y1,122
R_5G8NBsijLTDpxqC,Control,A,82,1,94,12,More,0,YX,1,an allozedic disease,76
R_3qspQqw8xHr3fTW,Polarization,A,69,1,90,21,More,0,YX,1,Y1,146
R_52LVpTbUdXUVZiC,Polarization,A,100,1,80,-20,Less,0,XY,2,Y1,84
R_3h5fQAaft7z5mWB,Moderation,H,0,1,20,20,More,0,YX,1,Y2,112
R_6x0H5uCFyKlO8Tv,Polarization,H,65,1,75,10,More,0,YX,1,Y1,194
R_34bzMC0NkRcIIuR,Control,H,80,1,70,-10,Less,0,XY,1,a hypozedic disease,148
R_6YP2n8dcoo1vZ96,Moderation,A,50,0,-40,-10,Less,1,YX,2,L2,151
R_6Co6suyRQa6WTER,Polarization,H,36,0,65,29,More,0,YX,2,L1,72
R_7D0jQ644IzXOElZ,Polarization,H,54,1,44,-10,Less,0,YX,1,Y1,56
R_1EX4JDV22wrRaK0,Moderation,H,18,0,-15,-3,Equal,1,YX,2,L2,73
R_11zTmJfRQSOVr4v,Moderation,H,50,0,0,-50,Less,0,XY,1,L2,74
R_7Xmt48ZKppZN0Zq,Polarization,A,65,1,76,11,More,0,YX,1,Y1,68
R_5anI7GOHs62B1P9,Moderation,H,43,0,-23,-20,Less,1,YX,2,L2,90
R_5Qfm1VZ8P1nQS1c,Polarization,A,53,1,63,10,More,0,YX,1,Y1,74
R_5D2XGhPGom6s8Qp,Control,A,20,1,69,49,More,0,XY,2,an allozedic disease,89
R_3gorKFZ9CpgeYkN,Polarization,H,54,1,75,21,More,0,XY,2,Y1,196
R_5G3rCs5Bl1i4DUO,Polarization,H,75,1,58,-17,Less,0,XY,2,Y1,107
R_3GNDMqh9HLSR93o,Polarization,A,39,1,68,29,More,0,XY,2,Y1,87
R_5UptGqGYDNJLaed,Moderation,A,92,0,-13,-79,Less,1,XY,1,L2,148
R_77CTOTs01g8eacN,Moderation,H,46,1,0,-46,Less,0,YX,1,Y2,82
R_6Y3z5eNZWWDk7hr,Polarization,A,6,1,92,86,More,0,XY,2,Y1,85
R_3Qld4OAgpe35y3a,Polarization,A,30,1,46,16,More,0,YX,1,Y1,83
R_1INwxlOcoNuuNYZ,Polarization,A,77,1,65,-12,Less,0,YX,1,Y1,74
R_6IAiOsZjwolctTX,Moderation,H,45,1,0,-45,Less,0,YX,1,Y2,114
R_5TAEMgaKEoAPu7I,Control,A,73,0,77,4,Equal,0,YX,2,a hypozedic disease,159
R_3wH9eAQOke3j4Wi,Moderation,H,0,0,-2,2,Equal,0,YX,2,L2,77
R_6qA9qe0HLucx6hz,Polarization,H,52,0,-25,-27,Less,1,XY,1,L1,98
R_62C4AxbrwkZAUZX,Control,A,0,1,20,20,More,0,YX,1,an allozedic disease,224
